Settore,Priorita Strategica,Tipo Copertura,Strumento Preferito,Ticker ETF/Fondo,ETF/Fondo candidato,Azioni Leader,Target Satellite %,Max Satellite %,Orizzonte,Perche guardarlo,Rischio principale,Nota Fineco/Consulente
Core Globale,95,Core,ETF UCITS globale,VWCE.DE,Vanguard FTSE All-World UCITS ETF,NA,60,80,Lungo periodo,Base del portafoglio gia diversificata su mercati sviluppati ed emergenti,Sovrappeso USA e mega cap se gia molto presente,Usarlo come base; evitare di duplicare troppo con altri globali simili
Tecnologia e AI,86,Satellite,ETF/Fondo settoriale,XDWT.DE,ETF tecnologia globale / MSCI World Information Technology,MSFT|AAPL|GOOGL,5,15,3-7 anni,Trend strutturale su software cloud semiconduttori e AI,Valutazioni elevate e concentrazione USA,Verificare su Fineco ETF UCITS o fondo tecnologia disponibile
Semiconduttori,88,Satellite aggressivo,ETF settoriale o basket azioni,VVSM.DE,ETF semiconduttori UCITS / VanEck Semiconductor UCITS,NVDA|ASML.AS|AMD|STM.MI,3,10,3-7 anni,Fattore abilitante per AI data center auto elettrica e industria,Ciclicita e drawdown elevati,Preferire size piccola o ETF; azioni singole solo se consapevoli del rischio
Cybersecurity,80,Satellite,ETF tematico,ISPY.L,ETF cybersecurity UCITS,CRWD|PANW|FTNT,2,8,3-5 anni,Spesa IT difensiva legata a sicurezza dati e infrastrutture,Rischio valutazioni e temi gia affollati,ETF tematico da verificare con consulente per costi e liquidita
Healthcare,78,Satellite difensivo,ETF/Fondo settoriale,XDWH.DE,ETF healthcare globale / fondo sanitario,NOVO-B.CO|LLY|JNJ,5,15,5+ anni,Domanda strutturale demografia farmaci innovazione e qualita difensiva,Rischio regolatorio e concentrazione pharma,Adatto come satellite difensivo rispetto a tecnologia
Difesa e sicurezza,76,Satellite tematico,ETF/Fondo tematico,DFNS.L,ETF difesa/sicurezza UCITS,LMT|RTX|BA.L,2,8,3-5 anni,Spesa pubblica e sicurezza geopolitica come trend pluriennale,Rischio politico etico e concentrazione,Da discutere con consulente per coerenza personale/ESG
Infrastrutture,74,Satellite difensivo,ETF/Fondo settoriale,INFR.MI,ETF infrastrutture globali / fondo infrastrutture,NEE|ENEL.MI|IBE.MC,3,10,5+ anni,Elettrificazione reti data center e investimenti pubblici,Sensibilita tassi e regolazione,Interessante per stabilizzare portafoglio se poco presente
Energia e Uranio,70,Satellite ciclico,ETF/ETC o basket,URNM.L,ETF uranium/energy transition o fondo energia,CCJ|SHEL.L|ENI.MI,1,6,3-5 anni,Domanda energia data center elettrificazione e sicurezza energetica,Alta volatilita materie prime,Usare solo come satellite piccolo; verificare strumenti UCITS/ETC
India e Asia Consumer,72,Satellite geografico,ETF/Fondo paese,NDIA.L,ETF India UCITS / fondo Asia consumer,INFY|HDB|RELIANCE.NS,2,8,5+ anni,Crescita demografica consumi digitalizzazione e manifattura,Valutazioni e rischio valuta/paese,Da confrontare con esposizione emergenti gia presente in core
Clean Energy,62,Satellite speculativo,ETF tematico,INRG.MI,ETF global clean energy UCITS,ENPH|SEDG|VWS.CO,1,5,3-7 anni,Transizione energetica ma settore volatile e dipendente dai tassi,Drawdown prolungati e rischio politico,Non aumentare se trend debole; solo monitoraggio o size minima
Oro e Protezione,68,Diversificante,ETC/ETF oro,SGLD.MI,ETC oro fisico / fondo multi-asset difensivo,NA,3,10,Ciclo e protezione,Serve come diversificante in shock o inflazione non come crescita,Puo non produrre rendimento reale in fasi risk-on,Valutare con consulente per ruolo difensivo e fiscalita
Obbligazionario Globale,66,Diversificante,ETF obbligazionario,EUNA.MI,ETF global aggregate bond hedged/unhedged,NA,10,35,Lungo periodo,Riduce volatilita complessiva se calibrato su durata e valuta,Rischio tassi cambio e duration,Da allineare a orizzonte e consulenza Fineco
